,filename,Invoice_no,Invoice_date,Vendor_name,Product_model,Qty,Unit_price,Item_total,Invoice_total,Currency,Confidence,low_conf_fields
506,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K490XL-WH2
BD355GA",8,170.89,1367.12,53555,$,0.902625,
507,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-SL3
BD445JA",30,194.97,5849.1,53555,$,0.906875,
508,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580X-WH3
BD-445JA",33,194.97,6434.01,53555,$,0.902375,
509,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580XL-WH2
BD445GA",5,206.44,1032.2,53555,$,0.902625,
510,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K660X-WH2
BD-505JS",36,221.93,7989.48,53555,$,0.869375,
511,SHXX-J211201.pdf,SHXX-J211201,01/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K660X-WH3
BD505JS",64,221.93,14203.52,53555,$,0.90175,
512,SHXX-K210829.pdf,SHXX-K210829,27/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K400X-WH3
BD282JA",106,126.73,13433.38,13433.38,$,0.9065,Qty
513,SHXX-Q211223.pdf,SHXX-Q211223,24/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K75X-SL3,592,54.21,32092.32,68658.38,$,0.898125,
514,SHXX-Q211223.pdf,SHXX-Q211223,24/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SJ-K155X-SL3,251,79.06,19844.06,68658.38,$,0.931125,
515,SHXX-Q211223.pdf,SHXX-Q211223,24/12/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K190X-WH3,180,92.9,16722,68658.38,$,0.93975,
516,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.","SCF-K580XL-WH2
BD445GA",7,206.44,1445.08,21262.56,$,0.838875,Product Model
517,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K400XL-WH2,11,132.47,1457.17,21262.56,$,0.820125,Product Model
518,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K660X-WH2,10,221.93,2219.3,21262.56,$,0.828625,Product Model
519,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K490X-WH3,17,160.57,2729.69,21262.56,$,0.831625,Product Model
520,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K320XL-WH2,25,116.98,2924.5,21262.56,$,0.83075,Product Model
521,SHXX-L210828B.pdf,SHXX-L210828B,24/08/21,"ZHEJIANG XINGXING REFRIGERATION CO., LTD.",SCF-K130X-WH3,14,81.43,1140.02,21262.56,$,0.829375,Product Model
